"Ảnh","Mã sản phẩm","Ngày cập nhật","Chủng loại","Lưu ý nhận sx 1c / sx hết tồn","","Tên sản phẩm","Nguyên Giá (bắt buộc)","Giá TMĐT","Giá TMĐT làm tròn","Giá KM","Mùa vụ","Tồn","Màu sắc","SIZE SỐ","Chất liệu","Mô tả sản phẩm","Hàng tặng","","BST mới","Biển","Nghệ sĩ","","","","","","","","","","","","","","","","","","","","","Sale CH",""
"","MR0VX6205","06/08/2026","Váy xoè","Không nhận sx 1c","","Felice","1.950.000","","","","Xuân hè 2026","0","BE","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6209","06/08/2026","Set váy","Không nhận sx 1c","","Felora","1.890.000","","","","Xuân hè 2026","0","HỒNG CAM","S,M,L","raw silk","ÁO KHÔNG CÓ MÚT NGỰC, ÁO 1 LỚP KÈM ÁO TRONG, CHÂN VÁY 2 LỚP, ÁO CHUI ĐẦU, CHÂN VẤY KHÓA SAU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6212","06/08/2026","Váy xoè","HẾT HÀNG","","Felya","2.670.000","","","","Xuân hè 2026","0","HỒNG CAM","S,M,L","raw silk","ĐÓNG CÚC
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6214","06/08/2026","Váy xoè","HẾT HÀNG","","Felyne","1.380.000","","","","Xuân hè 2026","0","KEM","S,M,L","Silk Chiffon","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6215","06/08/2026","Váy xoè","Không nhận sx 1c","","Felyra","2.640.000","","","","Xuân hè 2026","0","XANH","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6218","06/08/2026","Set váy","HẾT HÀNG","","Claras","1.350.000","","","","Xuân hè 2026","0","KEM","S,M","raw silk","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKAD6045","06/08/2026","Áo dài tay","Không nhận sx 1c","","Claires","790.000","","","","Xuân hè 2026","157","XANH","FREESIZE","Kate Mỹ","KHÔNG CÓ KHOÁ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6219","06/08/2026","Set váy","Không nhận sx 1c","","Cora","1.550.000","","","","Xuân hè 2026","0","HỒNG, XANH","S,M","embroidered linen","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6228","06/08/2026","Set quần","HẾT HÀNG","","Camille","1.550.000","","","","Xuân hè 2026","0","XANH","FREESIZE","raw silk","ĐÓNG CÚC
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6220","06/08/2026","Váy xoè","Không nhận sx 1c","","Celia","690.000","","","","Xuân hè 2026","0","BE","S,M","raw silk","VÁY 2 DÂY KHÔNG CÓ MÚT NGỰC, CHUI ĐẦU, CÓ QUẦN BẢO HỘ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6221","06/08/2026","Set váy","Không nhận sx 1c","","Celinea","1.850.000","","","","Xuân hè 2026","0","BE","S,M","mesh lace,Silk Chiffon","\ÁO ĐÓNG CÚC, ÁO VÀ CHÂN VÁY 2 LỚP, ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6222","06/08/2026","Set váy","HẾT HÀNG","","Clarise","1.650.000","","","","Xuân hè 2026","0","HỒNG","S,M","Embroidered Lace","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"Không thấy ảnh","MR0SQ6223","06/08/2026","Set quần","HẾT HÀNG","","Clarisa","990.000","","","","Xuân hè 2026","0","CAM","S,M","raw silk","Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6091","06/08/2026","Set quần","Không nhận sx 1c","","Clarine","950.000","","","","Xuân hè 2026","1","KEM, HỒNG TÍM, HỒNG NHẠT","S,M","flowy crinkled chiffon fabric","ÁO KHÔNG CÓ ĐỆM NGỰC, 2 LỚP, CHUI ĐẦU, QUẦN CẠP CHUN
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6300","06/08/2026","Set váy","Không nhận sx 1c","","Clarinae","1.350.000","","","","Xuân hè 2026","0","HỒNG, XANH, XÁM","S,M","raw silk","ÁO KHÔNG CÓ ĐỆM NGỰC, 2 LỚP, ÁO CÀI CÚC SAU, CHÂN VÁY CẠP CHUN
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6303","06/08/2026","Set quần","Không nhận sx 1c","","Claris","590.000","","","","Xuân hè 2026","2","HỒNG","S,M","Rough silk stripes","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSQ6072","06/08/2026","Set quần","Không nhận sx 1c","","Corae","990.000","","","","Xuân hè 2026","23","XANH","S,M","ĐŨI LINEN","ÁO KHÔNG CÓ ĐỆM NGỰC, ÁO 2 LỚP, QUẦN 2 LỚP, QUẦN CẠP CHUN
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKAD6054","06/08/2026","Áo dài tay","HẾT HÀNG","","Coralie","690.000","","","","Xuân hè 2026","","HỒNG, XANH","S,M","Double Faced chiffon","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKVS6069","06/08/2026","Váy suông","Không nhận sx 1c","","Coraline","1.390.000","","","","Xuân hè 2026","0","XANH","FREE SIZE","flowy crinkled chiffon fabric","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6301","09/08/2026","Set quần","Không nhận sx 1c","","Corine","950.000","","","","Xuân hè 2026","5","XÁM, ĐEN, HỒNG","S,M","raw silk","ÁO KHÔNG CÓ ĐỆM NGỰC, 1 LỚP, CHUI ĐẦU, QUẦN CẠP CHUN
Độ co giãn: KHÔng co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKAH6068","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","HẾT HÀNG","","Corisa","590.000","","","","Xuân hè 2026","0","KEM","S,M","raw silk","CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AH6231","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","Không nhận sx 1c","","Corinaes","590.000","","","","Xuân hè 2026","0","KEM","S,M","lace","ÁO KHÔNG CÓ ĐỆM NGỰC, 1 LỚP, CHUI ĐẦU
Độ co giãn: CÓ CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","PVSV513","06/08/2026","Set váy","Không cần cọc","","Coraliea","850.000","","","","Xuân hè 2026","83","KEM, HỒNG","S,M,L","Scuba fabric","ÁO KHÔNG CÓ MÚT NGỰC, 1 LỚP, QUẦN CẠP CHUN
Độ co giãn: CÓ CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","PRSQ5402","06/08/2026","Set quần","Không cần cọc","","Corise","","","","","Thu đông 2026","371","","S, M, L","Twill knit fabric","ÁO KHÔNG CÓ MÚT NGỰC, 1 LỚP, QUẦN CẠP CHUN
Độ co giãn: CÓ CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6304","06/08/2026","Set quần","Không nhận sx 1c","","Camy","980.000","","","","Xuân hè 2026","0","XANH","S,M","slub linen","ÁO KHÔNG CÓ MÚT NGỰC , QUẦN CẠP CHUN 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6306","06/08/2026","Váy xoè","Không nhận sx 1c","","Camia","850.000","","","","Xuân hè 2026","0","KEM","S,M","flowy crinkled chiffon fabric","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP , CHUI ĐÀU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6114","06/08/2026","Set quần","Không nhận sx 1c","","Celinee","990.000","","","","Xuân hè 2026","18","HỒNG, XANH, VÀNG, NÂU","S,M","Rough silk stripes","SÉT ÁO 3 CHI TIẾT , ÁO BRA BÊN TRONG CÓ MÚT NGỰC , CÓ CHUN CO GIÃN , CÓ TĂNG GIẢM ,ÁO SƠ MI DÀI TAY ĐÓNG CÚC , QUẦN DÀI CẠP CHUN CÓ LÓT QUẦN TRONG
Độ co giãn: KHÔNG CO GIÃN","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6233","06/08/2026","Set váy","Không nhận sx 1c","","Celinas","1.290.000","","","","Xuân hè 2026","1","XANH","S,M","linen lace fabric","ÁO CÓ MÚT NGỰC, ÁO 1 LỚP,
 CHÂN VÁY 2 LỚP, ÁO CHUI ĐẦU, CHÂN VÁY CẠP CHUN
Độ co giãn: KHÔNG CO GIÃN","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6232","06/08/2026","Set váy","Không nhận sx 1c","","Celinae","1.850.000","","","","Xuân hè 2026","0","HỒNG","S,M","glossy chiffon fabric","ÁO KHÔNG CÓ MÚT NGỰC,
 ÁO VÀ CHÂN VÁY 2 LỚP, CHÂN VÁY CẠP CHUN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6234","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Celie","600.000","","","","Xuân hè 2026","0","KEM","FREE SIZE","knit fabric","ÁO KHÔNG CÓ MÚT NGỰC, 
ÁO 1 DÂY BÊN NGOÀI VÀ ÁO CỘC BÊN TRONG, CHUI ĐẦU
Độ co giãn: CÓ CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6235","06/08/2026","Set quần","Không nhận sx 1c","","Celora","1.450.000","","","","Xuân hè 2026","0","HỒNG","S,M","crinkled silk fabric","ÁO KHÔNG CÓ MÚT NGỰC, ÁO 2 LỚP CHUI ĐÀU, 
QUẦN 2 LỚP CẠP CHUN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6236","06/08/2026","Váy xoè","Không nhận sx 1c","","Celorae","1.290.000","","","","Xuân hè 2026","0","KEM XANH","S,M","linen lace fabric","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP , KHÓA SAU CÓ CHUN LƯNG
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6069","07/08/2026","Váy xoè","Không nhận sx 1c","","Celya","1.250.000","","","","Xuân hè 2026","0","HỒNG","S,M","Crinkle Chiffon","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP , CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6305","07/08/2026","Váy xoè","Không cần cọc","","Celyne","950.000","","","665.000","Xuân hè 2026","55","TÍM, KEM","S,M,L","Crinkle Chiffon","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP, CHUN EO , CÓ QUẦN BẢO HỘ 
TẶNG ÁO QUÂY KHÔNG DÂY
Độ co giãn: KHÔNG CO GIÃN","Quần bảo hộ
Áo Quây","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6238","06/08/2026","Set váy","Không nhận sx 1c","","Giselles","1.350.000","","","","Xuân hè 2026","0","KEM","S,M","Floral lace","ÁO KHÔNG CÓ MÚT NGỰC, ÁO 2 LỚP, KHÓA SAU
, CHÂN VÁY CẠP CHUN 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKVX6023","06/08/2026","Váy xoè","HẾT HÀNG","","Gianas","950.000","","","","Xuân hè 2026","0","KEM","S,M","Silk Chiffon","VÁY KHÔNG CÓ MÚT NGỰC 2 LỚP, KHÓA SƯỜN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKVX6310","06/08/2026","Váy xoè","Không cần cọc","","Giannal","890.000","","","","Xuân hè 2026","104","KEM, HỒNG","S,M,L","Silk Chiffon","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP, CHUN EO 
CÓ KÈM QUẦN BẢO HỘ
Độ co giãn: KHÔNG CO GIÃN","Quần bảo hộ","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6201","06/08/2026","Váy xoè","Không nhận sx 1c","","Giavelle","1.290.000","","","","Xuân hè 2026","37","HỒNG, XANH LÁ","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: KHÔNG CO GIÃN","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6177","06/08/2026","Set váy","Không nhận sx 1c","","Giara","990.000","","","","Xuân hè 2026","19","HỒNG, XANH","S,M","Crinkle Chiffon","ÁO KHÔNG CÓ ĐỆM NGỰC, 2 LỚP, CHUN VAI,
 CHÂN VÁY CÓ LÓT QUẦN, CHUN EO
Độ co giãn: KHÔNG CO GIÃN","","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKAH6115","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Giavina","750.000","","","","Xuân hè 2026","3","XANH ĐẬM","FREESIZE","Rough silk stripes cao cấp","ÁO KHÔNG CÓ ĐỆM NGỰC, CHUI ĐẦU, 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSQ6309","06/08/2026","Set quần","Không cần cọc","","Givora","990.000","","","","Xuân hè 2026","114","ĐEN, NÂU VÀNG","S,M,L","Silk Chiffon","ÁO không có đệm ngực, 2 LỚP, áo có chun lưng, quần 2 lớp cạp chun
Độ co giãn: KHÔNG CO GIÃN","","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6066","09/08/2026","Set quần","Không nhận sx 1c","","Celyra","1.450.000","","","","Xuân hè 2026","39","TRẮNG","S,M,L","Sand Chiffon","ÁO KHÔNG CÓ MÚT NGỰC,ÁO 1 LỚP ĐÓNG CÚC, 
ÁO CÓ DÂY TĂNG GIẢM, QUẦN KHÓA TRƯỚC 2 LỚP 
TẶNG KÈM ÁO QUÂY KHÔNG DÂY
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6310","06/08/2026","Set quần","Không nhận sx 1c","","Givana","950.000","","","","Xuân hè 2026","5","XANH, NÂU, HỒNG","S,M","raw silk","SET 3 MẢNH, ÁO DÀI TAY ĐÓNG CÚC, 
ÁO BRA CHUN LƯNG CÓ MÚT NGỰC, QUẦN 2 LỚP CẠP CHUN
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSQ6308","06/08/2026","Set quần","Không nhận sx 1c","","Gabrielles","1.190.000","","","","Xuân hè 2026","0","HỒNG","S,M","ĐŨI LINEN","ÁO không có đệm ngực, áo có chun lưng, quần 1 lớp cạp chun
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6055","06/08/2026","Set váy","Không nhận sx 1c","","Gabriella","1.150.000","","","","Xuân hè 2026","0","TÍM, XANH","S,M","raw silk","ÁO KHÔNG CÓ ĐỆM NGỰC, ÁO VÀ CHÂN VÁY 2 LỚP, 
ÁO KHÓA ĐỒNG SAU, CHÂN VÁY KHÓA SAU
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6313","06/08/2026","Váy xoè","Không nhận sx 1c","","Gabelle","950.000","","","","Xuân hè 2026","0","KEM","S,M","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP, CHUI ĐẦU
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6204","06/08/2026","Váy xoè","Không nhận sx 1c","","Gavina","1.290.000","","","","Xuân hè 2026","0","XANH","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6320","06/08/2026","Váy xoè","Không nhận sx 1c","","Gavelle","990.000","","","","Xuân hè 2026","0","KEM","S,M","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, 2 LỚP, CHUI ĐẦU
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6210","06/08/2026","Váy xoè","Không nhận sx 1c","","Galina","1.350.000","","","","Xuân hè 2026","0","HỒNG CAM, NÂU LOANG","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSV6024","06/08/2026","Set váy","Không nhận sx 1c","","Galisse","1.190.000","","","","Xuân hè 2026","3","XANH","S,M,L","raw silk","ÁO 2 LỚP KHÓA ĐỒNG SAU, CHÂN VÁY CẠP CHUN 2 LỚP, 
ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6322","06/08/2026","Váy xoè","Không nhận sx 1c","","Galora","1.390.000","","","","Xuân hè 2026","0","KEM NÂU","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6324","06/08/2026","Váy xoè","Không nhận sx 1c","","Galiene","1.350.000","","","","Xuân hè 2026","0","XANH","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6323","06/08/2026","Váy xoè","Không nhận sx 1c","","Galessa","1.350.000","","","","Xuân hè 2026","0","NÂU","S,M","raw silk","VÁY 2 LỚP KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6311","09/08/2026","Váy xoè","Không cần cọc","","Geneva","750.000","","","","Xuân hè 2026","2","NÂU, KEM","S,M","CHIFFON","VÁY 2 LỚP , KHÓA SAU, DÂY ĐIỀU CHỈNH TRƯỚC NGỰC, 
KHÔNG CÓ MÚT NGỰC, KHÔNG KÈM QUẦN BẢO HỘ
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6312","06/08/2026","Váy xoè","Không cần cọc","","Genelle","950.000","","","","Xuân hè 2026","6","HỒNG TÍM","S,M","raw silk","VAÝ 2 DÂY, 2 LỚP, CHUN EO, CÓ KÈM QUẦN BẢO HỘ
Độ co giãn: ko co giãn","Quần bảo hộ","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6340","06/08/2026","Váy xoè","Không nhận sx 1c","","Genovia","1.650.000","","","","Xuân hè 2026","0","XANH","S,M","Silk Chiffon","VÁY 2 LỚP KHÓA SƯỜN, CÓ ĐỆM NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6342","06/08/2026","Váy xoè","Không nhận sx 1c","","Genisa","1.290.000","","","","Xuân hè 2026","0","KEM","S,M","Crinkle Chiffon","VÁY CHUI ĐẦU, 2 LỚP, 
CÓ KÈM QUẦN VÁY, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6343","06/08/2026","Set váy","Không nhận sx 1c","","Genora","1.090.000","","","","Xuân hè 2026","0","KEMVÀNG","S,M","SATIN","ÁO VÀ CHÂN VÁY 1 LỚP, ÁO KHÓA SƯỜN,
 CHÂN VÁY KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6344","06/08/2026","Set váy","Không nhận sx 1c","","Genive","950.000","","","","Xuân hè 2026","0","KEM","S,M","Silk Chiffon,
raw silk","ÁO 2 LỚP ĐÓNG CÚC CỔ SAU, CHÂNVÁY 2 LỚP KHÓA SAU, 
ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6345","06/08/2026","Váy xoè","Không cần cọc","","Genielle","890.000","","","","Xuân hè 2026","0","KEM","S,M","TAFFTA SATIN kết hợp Crinkle Chiffon","VÁY 2 LỚP, KHÓA SAU, KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","mới","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6346","09/08/2026","Váy xoè","Không nhận sx 1c","","Genessa","950.000","","","","Xuân hè 2026","0","NÂU","S,M","Silk Chiffon","VÁY 2 LỚP BUỘC DÂY CỔ VÀ LƯNG, KHÓA SAU, VÁY KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6347","06/08/2026","Set váy","Không nhận sx 1c","","Genia","1.100.000","","","","Xuân hè 2026","0","NÂU, VÀNG","S,M","Crinkle Chiffon","ÁO VÀ CHÂN VÁY 2 LỚP, CHÂN VÁY CÓ LÓT QUẦN, ÁO KHÔNG CÓ MÚT NGỰC.CHÂN VÁY CẠP CHUN
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6348","06/08/2026","Set váy","HẾT HÀNG","","Genova","990.000","","","","Xuân hè 2026","0","NÂU BE, KEM","S,M","raw silk","ÁO VÀ CHÂN VÁY 2 LỚP, CHÂN VÁY CÓ LÓT QUẦN, ÁO KHÔNG CÓ MÚT NGỰC.CHÂN VÁY CẠP CHUN
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6349","06/08/2026","Váy xoè","Không cần cọc","","Grace","850.000","","","","Xuân hè 2026","0","BE","S,M,L","ĐŨILINEN","VÁY 2 DÂY CÓ TĂNG GIẢ, VÁY 2 LỚP KHÓA SAU, 
VÁY KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","mới","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6350","06/08/2026","Set váy","Không nhận sx 1c","","Gracelle","990.000","","","","Xuân hè 2026","0","NÂU","S,M","Lace-overlay chiffon","ÁO VÀ CHÂN VÁY 2 LỚP, CHÂN VÁY CÓ LÓT QUẦN, ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","Mrkvx6330","06/08/2026","Váy xoè","Không nhận sx 1c","","Graciela","790.000","","","","Xuân hè 2026","0","XANH","S,M","Striped fabric","VÁY 2 LỚP CHUI ĐẦU, VÁY KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6316","06/08/2026","Set váy","Không nhận sx 1c","","Gravina","990.000","","","","Xuân hè 2026","0","HỒNG","S,M","Jacquard fabric","SET VÁY 2 DÂY, ÁO 2 LỚP, CHÂN VÁY 2 LỚP,
 ÁO CHUI ĐẦU, CHÂN VÁY CẠP CHUN, ,
KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MMAH560","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","Không cần cọc","","Aitana,","250.000","","","","Xuân hè 2026","46","TRẮNG","S,M,L","Ren","áo 2 dây, có mút ngực, 2 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSV6314","06/08/2026","Set váy","Không nhận sx 1c","","Grazie","1.050.000","","","","Xuân hè 2026","2","KEM NÂU","S,M","Crinkle Chiffon
raw silk","ÁO 1 LỚP KHÓA ĐỒNG SAU , ÁO KHÔNG CÓ MÚT NGỰC, CHÂN VÁY 2 LỚP CẠP CHUN
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6319","06/08/2026","Set quần","Không nhận sx 1c","","Gracielle","1.090.000","","","","Xuân hè 2026","0","BE, KEM, HỒNG","S,M","raw silk","ÁO 1 LỚP CHUI ĐẦU, QUẦN CẠP CHUN 2 LỚP, ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6351","06/08/2026","Váy xoè","Không nhận sx 1c","","Granova","1.050.000","","","","Xuân hè 2026","0","XANH, VÀNG","S,M","raw silk","váy 2 dây có tăng giảm, váy 2 lớp, không có mút ngực, chun eo, có kèm quần bảo hộ
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6317","09/08/2026","Set quần","Không nhận sx 1c","","Gravelle","950.000","","","","Xuân hè 2026","13","NÂU BE","S,M,L","Floral print linen","ÁO 2 LỚP CÀI CÚC CỔ SAU, QUẦN KHÓA TRƯỚC, QUẦN 2 LỚP, ÁO KHÔNG CÓ ĐỆM NGỰC
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6336","06/08/2026","Set quần","HẾT HÀNG","","Grae","950.000","","","","Xuân hè 2026","0","KEM","S,M","Crinkle Chiffon
raw silk","ÁO 2 DÂY CHUI ĐẦU 2 LỚP CÓ TĂNG GIẢM ĐIỀU CHỈNH, QUẦN 2 LỚP KHÓA SƯỜN,
 ÁO KHÔNG CÓ MÚT NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6352","06/08/2026","Váy xoè","Không nhận sx 1c","","Gwens","980.000","","","","Xuân hè 2026","0","NÂUHỒNG, XANH","S,M","Stretch mesh fabric","VÁY 2 DÂY CHUI ĐẦU, VÁY 2 LỚP, CÓ ĐỆM NGỰC
Độ co giãn: ko co giãn","","","","Biển","","","","","","","","","","","","","","","","","","","","","","20%",""
